League Year,Team Name,Attack,Midfield,Defence,Overall
2018,Manchester City,86,88,82,85
2018,Tottenham Hotspur,86,82,83,83
2018,Liverpool,86,82,82,83
2018,Chelsea,85,83,82,83
2018,Manchester United,83,83,80,82
2018,Arsenal,82,83,80,82
2018,West Ham United,80,78,77,79
2018,Everton,77,80,79,79
2018,Leicester City,78,76,79,78
2018,Crystal Palace,79,77,76,77
2018,Bournemouth,79,76,77,77
2018,Watford,78,78,77,77
2018,Burnley,77,75,77,77
2018,Newcastle United,76,77,76,77
2018,Wolverhampton Wanderers,75,80,76,77
2018,Brighton & Hove Albion,76,77,76,76
2018,Southampton,73,77,74,76
2018,Fulham,78,76,73,75
2018,Huddersfield Town,72,73,75,74
2018,Cardiff City,73,73,72,73
