League Year,Team Name,Attack,Midfield,Defence,Overall
2015,Chelsea,81,82,82,83
2015,Manchester City,84,82,81,82
2015,Arsenal,82,79,80,82
2015,Manchester United,69,80,77,81
2015,Tottenham Hotspur,82,78,79,79
2015,Liverpool,81,78,79,79
2015,Everton,79,78,80,79
2015,Newcastle United,77,77,75,77
2015,Stoke City,76,78,76,77
2015,West Ham United,76,76,74,77
2015,Swansea City,77,76,76,76
2015,Leicester City,76,77,75,76
2015,Southampton,76,76,76,76
2015,Crystal Palace,75,76,75,76
2015,Watford,77,74,74,75
2015,Sunderland,77,74,74,75
2015,West Bromwich Albion,76,73,73,75
2015,Aston Villa,74,74,74,75
2015,Norwich City,78,74,73,74
2015,Bournemouth,72,74,72,73
