League Year,Team Name,Attack,Midfield,Defence,Overall
2019,Manchester City,87,86,83,85
2019,Liverpool,87,83,85,85
2019,Tottenham Hotspur,85,82,82,82
2019,Manchester United,83,81,81,81
2019,Chelsea,80,84,81,81
2019,Arsenal,84,82,78,80
2019,Leicester City,80,79,79,79
2019,West Ham United,82,78,73,78
2019,Everton,80,78,79,78
2019,Wolverhampton Wanderers,79,79,78,78
2019,Watford,76,78,75,77
2019,Newcastle United,75,78,77,77
2019,Crystal Palace,73,77,76,77
2019,AFC Bournemouth,78,76,76,76
2019,Burnley,77,76,76,76
2019,Aston Villa,77,75,75,76
2019,Southampton,76,76,76,76
2019,Brighton & Hove Albion,75,76,76,76
2019,Sheffield United,73,77,75,75
2019,Norwich City,75,74,72,74
