League Year,Team Name,Attack,Midfield,Defence,Overall
2020,Liverpool,86,83,80,85
2020,Manchester City,85,86,83,85
2020,Tottenham Hotspur,89,82,81,82
2020,Manchester United,83,82,82,82
2020,Chelsea,82,84,82,82
2020,Arsenal,83,79,79,80
2020,Leicester City,80,81,79,80
2020,Everton,81,79,80,79
2020,Wolverhampton Wanderers,77,81,78,79
2020,West Ham United,79,79,77,78
2020,Aston Villa,76,77,77,77
2020,Leeds United,78,76,75,76
2020,Southampton,77,77,76,76
2020,Crystal Palace,77,75,75,76
2020,Newcastle United,77,75,74,76
2020,Burnley,75,76,77,76
2020,Brighton & Hove Albion,75,76,76,75
2020,Fulham,74,75,74,75
2020,West Bromwich Albion,74,74,72,74
2020,Sheffield United,71,74,73,73
