League Year,Team Name,Attack,Midfield,Defence,Overall
2017,Manchester City,85,87,83,84
2017,Tottenham Hotspur,85,83,82,83
2017,Manchester United,85,83,81,83
2017,Chelsea,84,86,82,83
2017,Arsenal,84,80,81,82
2017,Liverpool,85,81,80,81
2017,Everton,77,80,79,79
2017,Leicester City,79,79,76,78
2017,West Ham United,79,76,74,77
2017,Watford,78,77,75,77
2017,Burnley,76,77,78,77
2017,Crystal Palace,79,76,76,76
2017,West Bromwich Albion,79,75,77,76
2017,Southampton,76,77,75,76
2017,Bournemouth,76,75,75,76
2017,Stoke City,75,76,76,76
2017,Newcastle United,76,75,76,75
2017,Swansea City,76,75,74,75
2017,Brighton & Hove Albion,74,76,74,75
2017,Huddersfield Town,75,73,74,74
