League Year,Team Name,Attack,Midfield,Defence,Overall
2021,Liverpool,86,84,85,85
2021,Manchester City,84,87,86,85
2021,Chelsea,84,85,83,84
2021,Manchester United,82,83,81,83
2021,Tottenham Hotspur,83,81,78,81
2021,Leicester City,80,80,78,80
2021,Arsenal,77,80,77,80
2021,West Ham United,80,78,78,79
2021,Aston Villa,79,78,79,78
2021,Wolverhampton Wanderers,78,80,78,78
2021,Everton,78,78,77,78
2021,Newcastle United,78,77,77,77
2021,Leeds United,77,77,75,76
2021,Crystal Palace,77,76,75,76
2021,Burnley,77,75,76,76
2021,Southampton,75,76,76,76
2021,Brighton & Hove Albion,75,73,77,76
2021,Brentford,74,75,74,74
2021,Watford,74,75,74,74
2021,Norwich City,75,73,73,73
